keyword,tag,search_volume,category,exam_tag
xlri results,Main research sheet,590,Result,
xlri selection criteria,Main research sheet,320,Admission,
YCMOU admission,Main research sheet,5400,Admission,
YCMOU Admit Card,Main research sheet,720,Admit Card,
YCMOU exam,Main research sheet,8100,Overview,
YCMOU mba,Main research sheet,1300,Course,
YCMOU phd,Main research sheet,170,Course,
YCMOU study material,Main research sheet,110,Study Material,
YCMOU syllabus,Main research sheet,170,Syllabus,
YCMOU Time Table,Main research sheet,720,Time Table,
iiser,Main research sheet,74000,Overview,
cipet,Main research sheet,27100,Overview,
FDDI,Main research sheet,18100,Overview,
sssihms,Main research sheet,720,Overview,
phd biomedical engineering,Courses,210,Course,
mba,Courses,135000,Course,
master of science,Courses,8100,Course,
MD,Courses,74000,Course,
d el ed,Courses,74000,Course,
bba,Courses,90500,Course,
B Pharmacy,Courses,110000,Course,
bsc nursing,Courses,90500,Course,
mbbs,Courses,90500,Course,
bsc nursing post basic,Courses,2900,Course,
cfa,Courses,90500,Course,
bsc,Courses,74000,Course,
phd,Courses,60500,Course,
bca,Courses,90500,Course,
ma tamil,Courses,40500,Course,
d pharmacy,Courses,74000,Course,
llb,Courses,49500,Course,
BAMS,Courses,40500,Course,
bba course,Courses,49500,Course,
acca,Courses,60500,Course,
b com,Courses,33100,Course,
bsc agriculture,Courses,40500,Course,
Bachelor of Arts,Courses,22200,Course,
mphil,Courses,18100,Course,
MSW,Courses,18100,Course,
pgdm,Courses,22200,Course,
BHMS,Courses,27100,Course,
pgdca,Courses,18100,Course,
bsc computer science,Courses,33100,Course,
mtech,Courses,22200,Course,
phd chemical engineering,Courses,260,Course,
m tech,Courses,22200,Course,
dmlt course,Courses,40500,Course,
executive mba,Courses,14800,Course,
mba finance,Courses,18100,Course,
bpt,Courses,18100,Course,
dmlt,Courses,22200,Course,
b arch,Courses,14800,Course,
ma hindi,Courses,8100,Course,
Bachelor of Science (b.sc.),Courses,14800,Course,
bsc biotechnology,Courses,18100,Course,
BFA,Courses,12100,Course,
llm,Courses,14800,Course,
phd civil engineering,Courses,720,Course,
gnm course,Courses,18100,Course,
bms course,Courses,12100,Course,
BHM,Courses,6600,Course,
pgdba,Courses,9900,Course,
ba llb,Courses,12100,Course,
bsc it,Courses,12100,Course,
pgdm course,Courses,8100,Course,
bsc forensic science,Courses,9900,Course,
Doctorate of Medicine,Courses,9900,Course,
ma english,Courses,8100,Course,
msc computer science,Courses,9900,Course,
BMM,Courses,9900,Course,
cfp,Courses,8100,Course,
pgdca course,Courses,14800,Course,
bpt course,Courses,9900,Course,
mba in marketing,Courses,8100,Course,
bds course,Courses,12100,Course,
bams course,Courses,9900,Course,
bachelor of computer application,Courses,9900,Application,
BA English,Courses,8100,Course,
bachelor of education,Courses,6600,Course,
BSW,Courses,5400,Course,
mba in hospital management,Courses,9900,Course,
mba marketing,Courses,8100,Course,
anm nursing,Courses,8100,Course,
bsc microbiology,Courses,9900,Course,
bsc psychology,Courses,12100,Course,
msc chemistry,Courses,6600,Course,
b voc,Courses,8100,Course,
diploma in civil engineering,Courses,8100,Course,
diploma in architecture engineering,Courses,110,Course,
english honours,Courses,6600,Course,
bsc honours,Courses,6600,Course,
BA Economics,Courses,6600,Course,
master of arts,Courses,6600,Course,
jbt,Courses,4400,Course,
mba in international business,Courses,5400,Course,
GME,Courses,60500,Course,
BASLP,Courses,3600,Course,
bmlt,Courses,6600,Course,
bsc chemistry,Courses,8100,Course,
bsc hons,Courses,6600,Course,
bsc physics,Courses,6600,Course,
bvsc,Courses,5400,Course,
msc biotechnology,Courses,8100,Course,
msc psychology,Courses,6600,Course,
b design,Courses,6600,Course,
bjmc,Courses,8100,Course,
ba hons,Courses,6600,Course,
diploma in automobile engineering,Courses,2400,Course,
diploma in biomedical engineering,Courses,480,Course,
diploma in chemical engineering,Courses,1600,Course,
ma economics,Courses,5400,Course,
bfa course,Courses,8100,Course,
bhms course,Courses,6600,Course,
mba in business analytics,Courses,8100,Course,
master in public health,Courses,5400,Course,
BA Psychology,Courses,8100,Course,
mba in operations management,Courses,6600,Course,
bsc mlt,Courses,5400,Course,
MD Medicine,Courses,5400,Course,
masters in public health,Courses,5400,Course,
bsc nautical science,Courses,5400,Course,
msc mathematics,Courses,5400,Course,
msc microbiology,Courses,6600,Course,
master of computer application,Courses,5400,Application,
bsc forestry,Courses,4400,Course,
msc physics,Courses,5400,Course,
diploma in computer engineering,Courses,5400,Course,
diploma in computer science and engineering,Courses,1000,Course,
bsw course,Courses,5400,Course,
bbm course,Courses,3600,Course,
Bachelor of Pharmacy,Courses,6600,Course,
Bachelors of Computer Science,Courses,5400,Course,
Diploma in Elementary Education,Courses,5400,Course,
bed in hindi,Courses,5400,Course,
mba operations management,Courses,6600,Course,
project management certification,Courses,5400,Course,
Bachelor of Fine Arts,Courses,5400,Course,
FPM,Courses,2900,Course,
mba in hotel management,Courses,3600,Course,
msc nursing,Courses,5400,Course,
bachelor of computer science,Courses,5400,Course,
bsc biology,Courses,4400,Course,
bsc mathematics,Courses,5400,Course,
bsc optometry,Courses,4400,Course,
bsc statistics,Courses,4400,Course,
bsc zoology,Courses,4400,Course,
phd in computer science,Courses,3600,Course,
msc it,Courses,14800,Course,
diploma in electrical and electronics engineering,Courses,720,Course,
diploma in electrical engineering,Courses,4400,Course,
bsc horticulture,Courses,4400,Course,
msc forensic science,Courses,3600,Course,
Master of Social Work,Courses,4400,Course,
Bachelor of Architecture,Courses,4400,Course,
bmm course,Courses,4400,Course,
BA History,Courses,3600,Course,
BA Political Science,Courses,4400,Course,
BA sociology,Courses,3600,Course,
bachelor of physical education,Courses,2900,Course,
MA Political Science,Courses,3600,Course,
masters in psychology,Courses,3600,Course,
bachelor of management studies,Courses,2900,Course,
MBA HealthCare Management,Courses,4400,Course,
pgpm,Courses,2400,Course,
bsc electronics,Courses,2900,Course,
bsc food technology,Courses,4400,Course,
bsc home science,Courses,3600,Course,
msc statistics,Courses,2900,Course,
msc zoology,Courses,3600,Course,
lld,Courses,3600,Course,
msc agriculture,Courses,3600,Course,
bsc aviation,Courses,4400,Course,
mba in digital marketing,Courses,4400,Course,
diploma in electronics,Courses,880,Course,
ma sociology,Courses,2900,Course,
economics honours,Courses,2900,Course,
Master of Commerce,Courses,3600,Course,
Bachelor of Design,Courses,3600,Course,
masters in economics,Courses,2400,Course,
masters in education,Courses,2400,Course,
ma history,Courses,2400,Course,
phd in economics,Courses,2400,Course,
phd in psychology,Courses,3600,Course,
PGDBM,Courses,2400,Course,
be computer science,Courses,4400,Course,
bums course,Courses,2400,Course,
dmrd,Courses,1900,Course,
phd in commerce,Courses,2400,Course,
bsc biochemistry,Courses,2400,Course,
bsc botany,Courses,2900,Course,
bsc economics,Courses,2900,Course,
msc environmental science,Courses,2900,Course,
masters in architecture,Courses,2400,Course,
mfm,Courses,2900,Course,
bsc animation,Courses,2400,Course,
Yoga certificate course,Courses,2900,Course,
doctor of science,Courses,1600,Course,
mba in supply chain management,Courses,2900,Course,
diploma in electronics and communication engineering,Courses,720,Course,
diploma in electronics engineering,Courses,320,Course,
ma education,Courses,2900,Course,
mba supply chain management,Courses,2900,Course,
bsc hotel management,Courses,2400,Course,
llb degree,Courses,1900,Course,
yoga certification courses,Courses,2900,Course,
BA English Literature,Courses,3600,Course,
master in hindi,Courses,8100,Course,
phd in english,Courses,2400,Course,
faculty development programme,Courses,1600,Course,
bhmct,Courses,1600,Course,
mba in aviation management,Courses,2400,Course,
mba in entrepreneurship,Courses,2400,Course,
mba in event management,Courses,1900,Course,
masters in international business,Courses,1600,Course,
bsc geology,Courses,2400,Course,
msc biochemistry,Courses,2400,Course,
msc botany,Courses,2400,Course,
bsc fashion designing,Courses,2900,Course,
mba in hospital administration,Courses,2400,Course,
mba in project management,Courses,2400,Course,
dm cardiology,Courses,1900,Course,
mba in sports management,Courses,1900,Course,
diploma in marine engineering,Courses,1000,Course,
diploma in mechanical engineering,Courses,9900,Course,
diploma in mechatronics,Courses,590,Course,
diploma in mining engineering,Courses,390,Course,
diploma in petroleum engineering,Courses,320,Course,
post basic bsc nursing,Courses,2900,Course,
bba finance,Courses,2900,Course,
diploma in it,Courses,1900,Course,
msc economics,Courses,1900,Course,
Master of Design,Courses,1900,Course,
mba data analytics,Courses,2400,Course,
Master of Laws,Courses,1900,Course,
mba in human resource management,Courses,2900,Course,
MA English Literature,Courses,2400,Course,
master of philosophy,Courses,1600,Course,
m phil in english,Courses,720,Course,
phd in education,Courses,1600,Course,
bachelor of occupational therapy,Courses,2400,Course,
mba in banking and finance,Courses,2900,Course,
bsc genetics,Courses,1900,Course,
bsc nutrition,Courses,1900,Course,
bsc physiotherapy,Courses,2900,Course,
msc food technology,Courses,1900,Course,
phd in mathematics,Courses,1600,Course,
phd in physics,Courses,1900,Course,
phd in law,Courses,1900,Course,
bba in airport management,Courses,1900,Course,
bsc interior design,Courses,3600,Course,
mdes,Courses,1900,Course,
PGDBF,Courses,1000,Course,
diploma in printing technology,Courses,480,Course,
diploma in production engineering,Courses,140,Course,
post graduate diploma in supply chain management,Courses,210,Course,
B.Pharm + MBA,Courses,210,Course,
masters in international business (mib),Courses,1600,Course,
mfa degree,Courses,1600,Course,
ma public administration,Courses,1900,Course,
m tech in computer science,Courses,1900,Course,
ma in english Literature,Courses,2400,Course,
MBA Logistics,Courses,1600,Course,
ma in geography,Courses,1300,Course,
mba travel and tourism,Courses,1300,Course,
Master of Hotel Management,Courses,1300,Course,
java certification course,Courses,1300,Course,
certificate of insurance,Courses,1300,Course,
ma philosophy,Courses,1000,Course,
bba marketing,Courses,1600,Course,
mfsc,Courses,590,Course,
Bachelor of Veterinary Science,Courses,1000,Course,
md Dermatology,Courses,880,Course,
bba hotel management,Courses,1000,Course,
MFA course,Courses,1000,Course,
bsc hons chemistry,Courses,1000,Course,
m tech in cse,Courses,880,Course,
Private Pilot License,Courses,590,Course,
ma Social Work,Courses,720,Course,
Bachelor of Elementary Education,Courses,720,Course,
Master of Physical Education,Courses,720,Course,
MA Clinical Psychology,Courses,720,Course,
Master of Library and Information Science,Courses,720,Course,
bachelor of hospital management,Courses,720,Course,
BA Fine Arts,Courses,720,Course,
m tech food technology,Courses,590,Course,
bachelor of music,Courses,720,Course,
ma music,Courses,480,Course,
ma anthropology,Courses,590,Course,
c++ certification,Courses,590,Course,
MBA in Foreign Trade,Courses,480,Course,
Post graduate diploma in business analytics,Courses,480,Course,
MS in biotechnology,Courses,480,Course,
MA Linguistics,Courses,480,Course,
MBA Real Estate,Courses,590,Course,
be aeronautical engineering,Courses,480,Course,
MBA in Energy Management,Courses,390,Course,
masters in counselling psychology,Courses,390,Counselling,
Bachelor of Theology,Courses,390,Course,
mba education,Courses,320,Course,
BFA Photography,Courses,260,Course,
BBA Accounting,Courses,480,Course,
ma psychology subjects,Courses,320,Course,
Master of Divinity,Courses,320,Course,
bba management,Courses,320,Course,
human resources certification,Courses,260,Course,
ME Mechanical Engineering,Courses,260,Course,
Master of Theology,Courses,260,Course,
masters in counseling,Courses,210,Counselling,
me structural engineering,Courses,320,Course,
m tech in bioinformatics,Courses,260,Course,
Phd in Business Administration,Courses,590,Course,
b.com computer application,Courses,5400,Application,
phd in electrical engineering,Courses,480,Course,
M.Sc. Hospital Administration,Courses,210,Course,
phd public health,Courses,590,Course,
b tech civil engineering,Courses,2900,Course,
D.Pharma,Courses,74000,Course,
phd in civil engineering,Courses,720,Course,
M.Phil in Chemistry,Courses,260,Course,
M.Pharm.,Courses,3600,Course,
Ph.d in social work,Courses,720,Course,
D.Litt,Courses,1600,Course,
phd in biochemistry,Courses,480,Course,
phd in statistics,Courses,590,Course,
phd in chemical engineering,Courses,260,Course,
b tech food technology,Courses,4400,Course,
phd in philosophy,Courses,590,Course,
M.Ed.,Courses,5400,Course,
M.Arch,Courses,74000,Course,
phd in pharmacology,Courses,590,Course,
M.phil,Courses,18100,Course,
phd in public administration,Courses,590,Course,
phd in design,Courses,390,Course,
md orthopedics,Courses,320,Course,
Ph.D. in Criminology,Courses,140,Course,
phd neuroscience,Courses,390,Course,
phd in biology,Courses,480,Course,
Diploma in Fashion Design,Courses,5400,Course,
B.E in mechanical Engineering,Courses,2900,Course,
B.E Civil Engineering,Courses,1600,Course,
bsc honours in physics,Courses,1000,Course,
b tech information technology,Courses,2400,Course,
m.tech structural engineering,Courses,1000,Course,
m.tech in mechanical engineering,Courses,880,Course,
b tech electronics and communication,Courses,720,Course,
m.tech in electrical engineering,Courses,590,Course,
m.tech in automobile engineering,Courses,390,Course,
m.tech in biomedical engineering,Courses,720,Course,
BA Economics Honours,Courses,2400,Course,
ma geography,Courses,1300,Course,
master of public administration,Courses,1600,Course,
mphil in Psychology,Courses,1600,Course,
phd in hindi,Courses,1600,Course,
bba honours,Courses,2400,Course,
bachelor of business management,Courses,1300,Course,
mba in biotechnology,Courses,1900,Course,
mba in logistics and supply chain management,Courses,2900,Course,
mba in travel and tourism,Courses,1300,Course,
masters in hotel management,Courses,1300,Course,
mhrm,Courses,1300,Course,
mba in hospitality management,Courses,1300,Course,
mtech in civil engineering,Courses,1600,Course,
bachelor of optometry,Courses,1600,Course,
bsc medical,Courses,1300,Course,
bsc nutrition and dietetics,Courses,3600,Course,
Master of Physiotherapy,Courses,1600,Course,
dmrt,Courses,1300,Course,
b com accounting and finance,Courses,2900,Course,
m phil in commerce,Courses,590,Course,
bsc life science,Courses,2400,Course,
msc geography,Courses,1600,Course,
mtech in computer science,Courses,1900,Course,
phd in chemistry,Courses,1600,Course,
bsc hons agriculture,Courses,1900,Course,
phd in finance,Courses,1300,Course,
emba,Courses,2400,Course,
BA Journalism,Courses,1000,Course,
phd in political science,Courses,1000,Course,
master of management studies,Courses,1000,Course,
PGP ABM,Courses,880,Course,
be civil engineering,Courses,1600,Course,
m tech biotechnology,Courses,1600,Course,
bsc perfusion technology,Courses,1300,Course,
dm neurology,Courses,1300,Course,
md general medicine,Courses,1300,Course,
md pathology,Courses,1600,Course,
md pediatrics,Courses,1300,Course,
phd in pharmacy,Courses,1300,Course,
ddvl,Courses,880,Course,
bsc geography,Courses,1600,Course,
bsc physics honours,Courses,1000,Course,
msc clinical research,Courses,1600,Course,
msc electronics,Courses,1300,Course,
msc geology,Courses,1000,Course,
msc organic chemistry,Courses,1300,Course,
phd in biotechnology,Courses,1600,Course,
ba mass communication,Courses,1300,Course,
bsc visual communication,Courses,1300,Course,
mjmc,Courses,880,Course,
bba international business,Courses,1900,Course,
mba in business management,Courses,1900,Course,
BA Education,Courses,880,Course,
BA Geography,Courses,1000,Course,
BA Philosophy,Courses,1000,Course,
BA Public Administration,Courses,1300,Course,
master of fine arts,Courses,8100,Course,
Masters in Statistics,Courses,880,Course,
m phil in hindi,Courses,260,Course,
phd in english literature,Courses,1600,Course,
mba in banking,Courses,880,Course,
MBA Financial Management,Courses,1600,Course,
mba in hospitality,Courses,480,Course,
MBA in Pharmaceutical Management,Courses,2900,Course,
phd in marketing,Courses,880,Course,
pgdhrm,Courses,720,Course,
bsc physician assistant,Courses,1600,Course,
md ayurveda,Courses,1000,Course,
md psychiatry,Courses,1000,Course,
md radiology,Courses,1300,Course,
ms ent,Courses,720,Course,
phd in nursing,Courses,1300,Course,
bsc chemistry honours,Courses,1000,Course,
mphil in computer science,Courses,480,Course,
msc bioinformatics,Courses,1300,Course,
msc life science,Courses,1000,Course,
msc medical microbiology,Courses,1300,Course,
msc nutrition and dietetics,Courses,1900,Course,
mvsc,Courses,720,Course,
bsc llb,Courses,1300,Course,
bsc fisheries,Courses,880,Course,
mba in fashion management,Courses,720,Course,
ba journalism and mass communication,Courses,1900,Course,
bachelor of mass communication,Courses,1000,Course,
bsc animation and multimedia,Courses,1300,Course,
ms in civil engineering,Courses,720,Course,
bsc operation theatre technology,Courses,1300,Course,
ma international relations,Courses,1000,Course,
mplan,Courses,880,Course,
pgdm in finance,Courses,880,Course,
bba in event management,Courses,1000,Course,
mba accounting,Courses,880,Course,
BA Tamil,Courses,720,Course,
masters in fashion designing,Courses,1000,Course,
masters in mathematics,Courses,720,Course,
ma sanskrit,Courses,1000,Course,
mphil in economics,Courses,390,Course,
phd in history,Courses,1000,Course,
phd in sociology,Courses,880,Course,
bba in hotel management,Courses,1000,Course,
mba in airport management,Courses,590,Course,
mba in media management,Courses,720,Course,
mba in retail management,Courses,880,Course,
mba technology management,Courses,880,Course,
mphil in management,Courses,320,Course,
pgdrd,Courses,480,Course,
phd in mechanical engineering,Courses,720,Course,
bachelor of dental surgery,Courses,1300,Course,
mch neurosurgery,Courses,1000,Course,
ms general surgery,Courses,1000,Course,
msc anatomy,Courses,720,Course,
mba in sales and marketing,Courses,1000,Course,
bsc anthropology,Courses,1300,Course,
bsc bioinformatics,Courses,1600,Course,
bsc honours mathematics,Courses,880,Course,
mphil in clinical psychology,Courses,1000,Course,
msc biology,Courses,1000,Course,
msc genetics,Courses,880,Course,
msc neuroscience,Courses,720,Course,
phd in environmental science,Courses,720,Course,
phd in microbiology,Courses,1000,Course,
llb hons,Courses,880,Course,
ma journalism and mass communication,Courses,1600,Course,
phd in yoga,Courses,590,Course,
pgdmm,Courses,480,Course,
phd in engineering,Courses,720,Course,
bttm,Courses,49500,Course,
mba in marketing management,Courses,1300,Course,
pbbsc nursing,Courses,1600,Course,
bachelor of fashion design,Courses,1600,Course,
bsc finance,Courses,1000,Course,
ba music,Courses,880,Course,
ba criminology,Courses,1000,Course,
msc cyber security,Courses,1300,Course,
bpmt,Courses,720,Course,
bsc astrophysics,Courses,880,Course,
bba in hospital management,Courses,1300,Course,
diplomate national board,Courses,590,Course,
md in homoeopathy,Courses,1300,Course,
md paediatrics,Courses,1300,Course,
m.pharm,Courses,3600,Course,
m pharm in pharmacology,Courses,480,Course,
m phil in microbiology,Courses,140,Course,
m phil in nursing,Courses,210,Course,
ms orthopaedics,Courses,1000,Course,
MA in Communication,Courses,110,Course,
Certificate in CAD,Courses,210,Course,
ma in chinese,Courses,140,Course,
ms research,Courses,170,Course,
MBA Health Care Administration,Courses,140,Course,
masters in occupational therapy,Courses,320,Course,
phd in medicine,Courses,390,Course,
master of finance and control,Courses,170,Course,
bsc instrumentation,Courses,260,Course,
ma home science,Courses,320,Course,
msc astronomy,Courses,390,Course,
msc molecular biology,Courses,390,Course,
llm criminal law,Courses,390,Course,
ma public policy,Courses,320,Course,
be information technology,Courses,480,Course,
phd in information technology,Courses,260,Course,
web design certificate,Courses,260,Course,
msc agronomy,Courses,320,Course,
certificate course in fashion designing,Courses,320,Course,
interior design certificate course,Courses,320,Course,
msc visual communication,Courses,320,Course,
ms in chemical engineering,Courses,260,Course,
phd in science,Courses,390,Course,
ba social work,Courses,320,Course,
ba in culinary arts,Courses,480,Course,
phd in international relations,Courses,390,Course,
phd in hospital administration,Courses,320,Course,
mmlt,Courses,320,Course,
ms in biomedical engineering,Courses,260,Course,
ba in foreign language,Courses,260,Course,
bsc anaesthesia technology,Courses,320,Course,
masters in technology management,Courses,260,Course,
Certificate Course in Physiotherapy,Courses,320,Course,
phd in clinical research,Courses,390,Course,
master of optometry,Courses,390,Course,
msc virology,Courses,390,Course,
msc dietetics,Courses,320,Course,
bba in sports management,Courses,480,Course,
mba in rural development,Courses,320,Course,
BA in French,Courses,210,Course,
BA Tamil Literature,Courses,210,Course,
bachelor of travel and tourism management,Courses,390,Course,
BFA Painting,Courses,260,Course,
Bachelor of tourism management,Courses,170,Course,
ma malayalam,Courses,260,Course,
mphil in Social Work,Courses,170,Course,
masters in theology,Courses,260,Course,
phd in rural development,Courses,210,Course,
basic training certificate,Courses,210,Course,
ba in hotel management,Courses,480,Course,
Certificate in Disaster Management,Courses,210,Course,
be chemical engineering,Courses,480,Course,
be electrical engineering,Courses,480,Course,
bsc aeronautical science,Courses,320,Course,
bsc software engineering,Courses,480,Course,
m tech in renewable energy,Courses,390,Course,
m tech thermal engineering,Courses,320,Course,
m tech transportation engineering,Courses,390,Course,
b sc cardiac technology,Courses,390,Course,
md forensic medicine,Courses,320,Course,
mds orthodontics,Courses,320,Course,
mpt neurology,Courses,390,Course,
mcom finance,Courses,320,Course,
bsc applied science,Courses,210,Course,
bsc hons economics,Courses,390,Course,
bsc industrial chemistry,Courses,260,Course,
m phil in zoology,Courses,140,Course,
msc geophysics,Courses,260,Course,
phd in food and nutrition,Courses,320,Course,
phd in home science,Courses,260,Course,
ba computer application,Courses,390,Application,
certificate course in computer application,Courses,210,Application,
bfa animation,Courses,260,Course,
mba in banking and insurance,Courses,170,Course,
phd in fine arts,Courses,260,Course,
bsc hons psychology,Courses,390,Course,
mtech bioinformatics,Courses,260,Course,
phd in supply chain management,Courses,210,Course,
b ed mathematics,Courses,260,Course,
master in labour studies,Courses,260,Course,
phd in fashion designing,Courses,260,Course,
phd in art,Courses,320,Course,
msc counselling,Courses,170,Counselling,
doctor of literature,Courses,210,Course,
ba astrology,Courses,210,Course,
mba in telecom management,Courses,170,Course,
ba criminology and police administration,Courses,390,Course,
msc nuclear physics,Courses,210,Course,
md acupuncture,Courses,260,Course,
BA Functional English,Courses,260,Course,
MA Applied Psychology,Courses,260,Course,
MA in Arabic,Courses,210,Course,
MA Hindi Literature,Courses,260,Course,
phd in Development Studies,Courses,170,Course,
MBA in Textile Management,Courses,260,Course,
PGDSM,Courses,260,Course,
post graduate diploma in material management,Courses,140,Course,
me in civil engineering,Courses,320,Course,
be automobile engineering,Courses,320,Course,
m tech in aeronautical engineering,Courses,210,Course,
m tech in agricultural engineering,Courses,210,Course,
phd in nanotechnology,Courses,170,Course,
md sports medicine,Courses,170,Course,
mds oral and maxillofacial surgery,Courses,320,Course,
m pharm pharmaceutics,Courses,320,Course,
ms anatomy,Courses,170,Course,
ms neurosurgery,Courses,320,Course,
phd in ayurveda,Courses,210,Course,
bsc electronic media,Courses,210,Course,
bsc hons biotechnology,Courses,390,Course,
mphil in biotechnology,Courses,140,Course,
msc applied chemistry,Courses,210,Course,
msc applied physics,Courses,210,Course,
msc biophysics,Courses,210,Course,
msc oceanography,Courses,210,Course,
phd in anthropology,Courses,210,Course,
phd in geology,Courses,210,Course,
phd in organic chemistry,Courses,260,Course,
llm constitutional law,Courses,210,Course,
msc aviation,Courses,260,Course,
PGDJMC,Courses,140,Course,
cad certification,Courses,210,Course,
dm neonatology,Courses,170,Course,
md pulmonary medicine,Courses,260,Course,
Pharm D Post Baccalaureate,Courses,320,Course,
executive mba in finance,Courses,210,Course,
ms pharmacology,Courses,140,Course,
bachelor of business economics,Courses,170,Course,
mba in information management,Courses,170,Course,
ba visual communication,Courses,320,Course,
mtech by research,Courses,170,Course,
BA Communicative English,Courses,210,Course,
masters in linguistics,Courses,170,Course,
MA Police Administration,Courses,170,Course,
mphil in English Literature,Courses,210,Course,
phd in marathi,Courses,140,Course,
elementary teacher training,Courses,140,Course,
mba business law,Courses,320,Course,
corporate mba,Courses,170,Course,
mba in tourism and hotel management,Courses,170,Course,
be food technology,Courses,170,Course,
btech biotechnology,Courses,9900,Course,
phd in software engineering,Courses,170,Course,
mch general surgery,Courses,210,Course,
mch surgical oncology,Courses,140,Course,
mds prosthodontics,Courses,210,Course,
msc epidemiology,Courses,210,Course,
msc psychiatry,Courses,210,Course,
phd in pharmaceutical sciences,Courses,320,Course,
phd in pharmaceutics,Courses,170,Course,
cplt,Courses,110,Course,
msc electronic media,Courses,140,Course,
msc human development,Courses,170,Course,
phd in material science,Courses,170,Course,
llm business law,Courses,210,Course,
pgdcl,Courses,170,Course,
ba dance,Courses,170,Course,
phd in journalism and mass communication,Courses,260,Course,
remote sensing phd,Courses,110,Course,
executive fellow programme in management,Courses,140,Course,
bba tourism and travel management,Courses,210,Course,
dm medical oncology,Courses,140,Course,
dm rheumatology,Courses,140,Course,
msc medicinal chemistry,Courses,260,Course,
m tech geoinformatics,Courses,140,Course,
phd in criminology,Courses,140,Course,
mba organizational behavior,Courses,110,Course,
bba supply chain management,Courses,320,Course,
bba professional,Courses,170,Course,
BA Urdu,Courses,170,Course,
B Ed home science,Courses,140,Course,
ma drawing and painting,Courses,110,Course,
phd in library and information science,Courses,210,Course,
phd in linguistics,Courses,140,Course,
phd in social science,Courses,140,Course,
mba in actuarial science,Courses,140,Course,
mba logistics management,Courses,260,Course,
phd in renewable energy,Courses,110,Course,
pgdom,Courses,140,Course,
bsc nuclear medicine technology,Courses,170,Course,
md endocrinology,Courses,140,Course,
md gastroenterology,Courses,170,Course,
mds periodontics,Courses,140,Course,
ms obstetrics and gynaecology,Courses,260,Course,
phd in pathology,Courses,140,Course,
phd in physiology,Courses,140,Course,
b com tax procedure and practice,Courses,110,Practice Papers,
mcom banking and finance,Courses,210,Course,
mcom e commerce,Courses,140,Course,
phd in banking and finance,Courses,110,Course,
bsc applied mathematics,Courses,170,Course,
bsc hons biomedical science,Courses,170,Course,
bvsc & ah,Courses,170,Course,
msc communication,Courses,140,Course,
msc meteorology,Courses,210,Course,
msc psychiatric nursing,Courses,170,Course,
phd in anatomy,Courses,110,Course,
phd biostatistics,Courses,140,Course,
bsc computer technology,Courses,210,Course,
m tech in information security,Courses,110,Course,
ba hons journalism,Courses,110,Course,
msc mass communication,Courses,140,Course,
certificate course in journalism,Courses,140,Course,
md anesthesiology,Courses,110,Course,
mpt in orthopaedics,Courses,210,Course,
phd in humanities,Courses,170,Course,
ME Design Engineering,Courses,140,Course,
mtech in cloud computing,Courses,210,Course,
llm maritime law,Courses,110,Course,
bsc cardiac perfusion,Courses,110,Course,
ba linguistics,Courses,140,Course,
masters in foreign trade,Courses,110,Course,
bms marketing,Courses,260,Course,
bsc ecology,Courses,140,Course,
bsc economics and finance,Courses,170,Course,
BA Drawing and painting,Courses,210,Course,
BA Visual Arts,Courses,110,Course,
masters in geology,Courses,110,Course,
ma in telugu,Courses,170,Course,
phd in kannada,Courses,110,Course,
phd in disaster management,Courses,110,Course,
btech computer science,Courses,9900,Course,
me in computer engineering,Courses,140,Course,
m tech in computer engineering,Courses,110,Course,
m tech in geotechnical engineering,Courses,110,Course,
m tech in nuclear engineering,Courses,110,Course,
bsc renal dialysis technology,Courses,210,Course,
md obstetrics and gynaecology,Courses,210,Course,
msc audiology,Courses,140,Course,
phd immunology,Courses,110,Course,
bsc advanced zoology and biotechnology,Courses,170,Course,
bsc clinical nutrition,Courses,140,Course,
bsc hons microbiology,Courses,140,Course,
bsc hons statistics,Courses,110,Course,
msc applied microbiology,Courses,140,Course,
phd in applied mathematics,Courses,110,Course,
cosmetology certificate,Courses,110,Course,
llm human rights,Courses,110,Course,
phd in horticulture,Courses,110,Course,
msc dairy technology,Courses,110,Course,
msc entomology,Courses,110,Course,
b arch interior design,Courses,110,Course,
b des industrial design,Courses,110,Course,
bsc apparel and fashion design,Courses,260,Course,
ma animation,Courses,110,Course,
ma graphic design,Courses,140,Course,
animation certificate,Courses,170,Course,
cognitive science phd,Courses,110,Course,
master of communication and journalism,Courses,110,Course,
phd in radiology,Courses,170,Course,
phd in cardiology,Courses,110,Course,
msc physical chemistry,Courses,170,Course,
phd in computer engineering,Courses,110,Course,
phd in analytical chemistry,Courses,110,Course,
m tech in manufacturing engineering,Courses,170,Course,
msc medical pharmacology,Courses,110,Course,
bachelor of literature,Courses,110,Course,
msc molecular medicine,Courses,170,Course,
phd in molecular biology,Courses,140,Course,
bsc in beauty cosmetology,Courses,110,Course,
BBA Logistics Management,Courses,110,Course,
be electrical and electronics engineering,Courses,170,Course,
be production engineering,Courses,110,Course,
m tech in mining engineering,Courses,110,Course,
m tech nanotechnology,Courses,210,Course,
m pharm in quality assurance,Courses,110,Course,
bsc applied physics,Courses,110,Course,
bsc plant biology and plant biotechnology,Courses,110,Course,
msc sustainable development,Courses,110,Course,
msc soil science,Courses,110,Course,
b des communication design,Courses,140,Course,
